rank,title,year,imdb_rating,genre,cast_name,storyline,combined_text
1831,The Late Show with Stephen Colbert,2015– ,7.2,"Comedy, Talk-Show","Stephen Colbert, Jon Batiste, Stay Human, Jen Spyra","Kids compete in challenges in this game show, hosted by an animated dog.","Title: The Late Show with Stephen Colbert Year: 2015–  Genre: Comedy, Talk-Show Cast: Stephen Colbert, Jon Batiste, Stay Human, Jen Spyra. Story: Kids compete in challenges in this game show, hosted by an animated dog."
1832,Cubicles,2019– ,8.3,"Comedy, Drama","Abhishek Chauhan, Nidhi Bisht, Arnav Bhasin, Badri Chavan","Abhay Pratap Singh, the gutsy cop who can outwit any criminal, is back. Only this time, he is up against some sharper and hardened evil masterminds. Join him as he sets out on the road to justice with a darker and edgier.","Title: Cubicles Year: 2019–  Genre: Comedy, Drama Cast: Abhishek Chauhan, Nidhi Bisht, Arnav Bhasin, Badri Chavan. Story: Abhay Pratap Singh, the gutsy cop who can outwit any criminal, is back. Only this time, he is up against some sharper and hardened evil masterminds. Join him as he sets out on the road to justice with a darker and edgier."
1833,FETCH! with Ruff Ruffman,2006–2010,7.5,"Animation, Comedy, Family","Jim Conroy, Rosario Corso, Marc Prophet, Madi Bader","Kate is a survivor of the Rwandan genocide whose adoptive mother, an international lawyer, faces a case that will shake their lives.","Title: FETCH! with Ruff Ruffman Year: 2006–2010 Genre: Animation, Comedy, Family Cast: Jim Conroy, Rosario Corso, Marc Prophet, Madi Bader. Story: Kate is a survivor of the Rwandan genocide whose adoptive mother, an international lawyer, faces a case that will shake their lives."
1834,Abhay,2019– ,8.0,"Crime, Thriller","Kunal Khemu, Ratnesh Mani, Sandeepa Dhar, Elnaaz Norouzi",A famed magician uses his skills of deception to assist the FBI in solving high-profile cases.,"Title: Abhay Year: 2019–  Genre: Crime, Thriller Cast: Kunal Khemu, Ratnesh Mani, Sandeepa Dhar, Elnaaz Norouzi. Story: A famed magician uses his skills of deception to assist the FBI in solving high-profile cases."
1835,Black Earth Rising,2018,7.5,Thriller,"John Goodman, Michaela Coel, Noma Dumezweni, Lucian Msamati","High-profile architect Alexandra faces her worst nightmare when she gets a call from local cop Conrado to identify her husband Oscar's body, found on a pier in the beautiful Albufera ...","Title: Black Earth Rising Year: 2018 Genre: Thriller Cast: John Goodman, Michaela Coel, Noma Dumezweni, Lucian Msamati. Story: High-profile architect Alexandra faces her worst nightmare when she gets a call from local cop Conrado to identify her husband Oscar's body, found on a pier in the beautiful Albufera ..."
1836,Deception,2018,7.5,"Crime, Drama, Mystery","Jack Cutmore-Scott, Ilfenesh Hadera, Lenora Crichlow, Justin Chon",A detective follows the trail of a serial killer 30 years into the future and teams up with detectives in that time period to find the culprit.,"Title: Deception Year: 2018 Genre: Crime, Drama, Mystery Cast: Jack Cutmore-Scott, Ilfenesh Hadera, Lenora Crichlow, Justin Chon. Story: A detective follows the trail of a serial killer 30 years into the future and teams up with detectives in that time period to find the culprit."
1837,El embarcadero,2019–2020,7.2,"Drama, Mystery","Álvaro Morte, Verónica Sánchez, Irene Arcos, Roberto Enríquez","With more than 20,000 patients, Dr. Pol has seen it all. Specializing in large farm animals, this senior is anything but retiring as he takes an old school, no-nonsense approach to veterinary medicine.","Title: El embarcadero Year: 2019–2020 Genre: Drama, Mystery Cast: Álvaro Morte, Verónica Sánchez, Irene Arcos, Roberto Enríquez. Story: With more than 20,000 patients, Dr. Pol has seen it all. Specializing in large farm animals, this senior is anything but retiring as he takes an old school, no-nonsense approach to veterinary medicine."
1838,Teoneol,2017,8.3,"Crime, Fantasy, Thriller","Choi Jin-Hyuk, Hie-bong Jo, Hyun-min Yoon, Kang Ki-Young","In 1327, an enlightened friar and his young apprentice investigate a series of mysterious deaths at an abbey risking the wrath of a powerful Inquisitor. Television adaptation of Umberto Eco's novel 'The Name of the Rose'.","Title: Teoneol Year: 2017 Genre: Crime, Fantasy, Thriller Cast: Choi Jin-Hyuk, Hie-bong Jo, Hyun-min Yoon, Kang Ki-Young. Story: In 1327, an enlightened friar and his young apprentice investigate a series of mysterious deaths at an abbey risking the wrath of a powerful Inquisitor. Television adaptation of Umberto Eco's novel 'The Name of the Rose'."
1839,The Incredible Dr. Pol,2011– ,8.6,"Documentary, Reality-TV","Jan Pol, Ari Rubin, Diane Pol, Charles Pol","Sebastian Stark is a Los Angeles hot-shot lawyer, who leaves his lucrative career as a defender of rich criminals to try public prosecution under the District Attorney. He forms a trial ...","Title: The Incredible Dr. Pol Year: 2011–  Genre: Documentary, Reality-TV Cast: Jan Pol, Ari Rubin, Diane Pol, Charles Pol. Story: Sebastian Stark is a Los Angeles hot-shot lawyer, who leaves his lucrative career as a defender of rich criminals to try public prosecution under the District Attorney. He forms a trial ..."
1840,The Name of the Rose,2019– ,7.0,"Drama, Mystery, Thriller","John Turturro, Rupert Everett, Damian Hardung, Fabrizio Bentivoglio","A disgraced former NYPD officer lives with his son, an earnest, obsessively honest NYPD detective.","Title: The Name of the Rose Year: 2019–  Genre: Drama, Mystery, Thriller Cast: John Turturro, Rupert Everett, Damian Hardung, Fabrizio Bentivoglio. Story: A disgraced former NYPD officer lives with his son, an earnest, obsessively honest NYPD detective."
