rank,title,year,imdb_rating,genre,cast_name,storyline,combined_text
729,Ice,2016– ,6.7,"Crime, Drama","Cam Gigandet, Jeremy Sisto, Audrey Marie Anderson, Judith Shekoni",A diamond dealer navigates the culturally diverse and otherwise treacherous world of the diamond business.,"Title: Ice Year: 2016–  Genre: Crime, Drama Cast: Cam Gigandet, Jeremy Sisto, Audrey Marie Anderson, Judith Shekoni. Story: A diamond dealer navigates the culturally diverse and otherwise treacherous world of the diamond business."
730,Spinning Out,2020,7.6,"Drama, Sport","Kaya Scodelario, January Jones, Willow Shields, Evan Roderick","A figure skating Olympic hopeful's struggle to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.","Title: Spinning Out Year: 2020 Genre: Drama, Sport Cast: Kaya Scodelario, January Jones, Willow Shields, Evan Roderick. Story: A figure skating Olympic hopeful's struggle to balance love, family and fragile mental health as her dream of winning takes a dizzying hold."
731,The Musketeers,2014–2016,7.8,"Adventure, Drama","Luke Pasqualino, Tom Burke, Santiago Cabrera, Howard Charles","Set on the streets of 17th-century Paris, ""The Musketeers"" gives a contemporary take on the classic story about a group of highly trained soldiers and bodyguards assigned to protect King and country.","Title: The Musketeers Year: 2014–2016 Genre: Adventure, Drama Cast: Luke Pasqualino, Tom Burke, Santiago Cabrera, Howard Charles. Story: Set on the streets of 17th-century Paris, ""The Musketeers"" gives a contemporary take on the classic story about a group of highly trained soldiers and bodyguards assigned to protect King and country."
732,Sseulsseulhago Chalranhashin: Dokkaebi,2016–2017,8.6,"Comedy, Drama, Fantasy","Gong Yoo, Kim Go-eun, Lee Dong-Wook, Yoo In-Na","In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.","Title: Sseulsseulhago Chalranhashin: Dokkaebi Year: 2016–2017 Genre: Comedy, Drama, Fantasy Cast: Gong Yoo, Kim Go-eun, Lee Dong-Wook, Yoo In-Na. Story: In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past."
733,Cuckoo,II 2012– ,7.2,Comedy,"Greg Davies, Helen Baxendale, Tyger Drew-Honey, Kenneth Collard","Cuckoo is every parent's worst nightmare - a slacker full of outlandish, New Age ideas.","Title: Cuckoo Year: II 2012–  Genre: Comedy Cast: Greg Davies, Helen Baxendale, Tyger Drew-Honey, Kenneth Collard. Story: Cuckoo is every parent's worst nightmare - a slacker full of outlandish, New Age ideas."
734,Torchwood,2006–2011,7.7,"Action, Drama, Mystery","John Barrowman, Eve Myles, Kai Owen, Gareth David-Lloyd","The members of the Torchwood Institute, a secret organization founded by the British Crown, fight to protect the Earth from extraterrestrial and supernatural threats.","Title: Torchwood Year: 2006–2011 Genre: Action, Drama, Mystery Cast: John Barrowman, Eve Myles, Kai Owen, Gareth David-Lloyd. Story: The members of the Torchwood Institute, a secret organization founded by the British Crown, fight to protect the Earth from extraterrestrial and supernatural threats."
735,Grown-ish,2018– ,6.4,"Comedy, Drama","Yara Shahidi, Trevor Jackson, Francia Raisa, Emily Arlook","A spinoff of ABC's ""Black-ish,"" Zoey Johnson is off to college and must live outside the nest, dealing with drugs, sex, and relationships along the way.","Title: Grown-ish Year: 2018–  Genre: Comedy, Drama Cast: Yara Shahidi, Trevor Jackson, Francia Raisa, Emily Arlook. Story: A spinoff of ABC's ""Black-ish,"" Zoey Johnson is off to college and must live outside the nest, dealing with drugs, sex, and relationships along the way."
736,"Signed, Sealed, Delivered",2014,7.5,"Comedy, Drama, Mystery","Eric Mabius, Kristin Booth, Yan-Kay Crystal Lowe, Geoff Gustafson","A group of postal detectives work to solve the mysteries behind undeliverable letters and packages from the past, delivering them when they are needed most.","Title: Signed, Sealed, Delivered Year: 2014 Genre: Comedy, Drama, Mystery Cast: Eric Mabius, Kristin Booth, Yan-Kay Crystal Lowe, Geoff Gustafson. Story: A group of postal detectives work to solve the mysteries behind undeliverable letters and packages from the past, delivering them when they are needed most."
737,Ansatsu kyôshitsu,2013–2016,8.0,"Animation, Action, Comedy","Jun Fukuyama, Mai Fuchigami, Christopher Bevins, Luci Christian","A powerful creature claims that within a year, Earth will be destroyed by him, but he offers mankind a chance by becoming a homeroom teacher where he teaches his students about how to kill him. An assassination classroom begins.","Title: Ansatsu kyôshitsu Year: 2013–2016 Genre: Animation, Action, Comedy Cast: Jun Fukuyama, Mai Fuchigami, Christopher Bevins, Luci Christian. Story: A powerful creature claims that within a year, Earth will be destroyed by him, but he offers mankind a chance by becoming a homeroom teacher where he teaches his students about how to kill him. An assassination classroom begins."
738,The Thundermans,2013–2018,5.8,"Action, Comedy, Drama","Kira Kosarin, Jack Griffo, Addison Riecke, Diego Velazquez","These siblings with superpowers might be twins, but they are very different indeed.","Title: The Thundermans Year: 2013–2018 Genre: Action, Comedy, Drama Cast: Kira Kosarin, Jack Griffo, Addison Riecke, Diego Velazquez. Story: These siblings with superpowers might be twins, but they are very different indeed."
739,Tidelands,2018,7.0,"Crime, Drama, Fantasy","Charlotte Best, Marco Pigossi, Aaron Jakubenko, Mattias Inwood","After an ex-con returns to her fishing village, a dead body leads her to uncover the secrets of the town and its half-siren, half-human residents.","Title: Tidelands Year: 2018 Genre: Crime, Drama, Fantasy Cast: Charlotte Best, Marco Pigossi, Aaron Jakubenko, Mattias Inwood. Story: After an ex-con returns to her fishing village, a dead body leads her to uncover the secrets of the town and its half-siren, half-human residents."
740,Rescue Me,2004–2011,8.3,"Comedy, Drama","Denis Leary, Michael Lombardi, Steven Pasquale, Andrea Roth",Tommy Gavin deals with the fears of his job as a firefighter and seeing his ex-wife dating other men.,"Title: Rescue Me Year: 2004–2011 Genre: Comedy, Drama Cast: Denis Leary, Michael Lombardi, Steven Pasquale, Andrea Roth. Story: Tommy Gavin deals with the fears of his job as a firefighter and seeing his ex-wife dating other men."
741,A Black Lady Sketch Show,2019– ,7.2,Comedy,"Robin Thede, Ashley Nicole Black, Gabrielle Dennis, Quinta Brunson",A half-hour sketch comedy written by and starring Robin Thede.,"Title: A Black Lady Sketch Show Year: 2019–  Genre: Comedy Cast: Robin Thede, Ashley Nicole Black, Gabrielle Dennis, Quinta Brunson. Story: A half-hour sketch comedy written by and starring Robin Thede."
742,Get Shorty,2017–2019,8.2,"Comedy, Crime","""Chris ODowd"", Ray Romano, Sean Bridgers, Carolyn Dodd",The adventures of a mobster-turned-movie producer in Hollywood. TV show based on Elmore Leonard's novel and subsequent film.,"Title: Get Shorty Year: 2017–2019 Genre: Comedy, Crime Cast: ""Chris ODowd"", Ray Romano, Sean Bridgers, Carolyn Dodd. Story: The adventures of a mobster-turned-movie producer in Hollywood. TV show based on Elmore Leonard's novel and subsequent film."
743,Flames,2018– ,9.2,"Comedy, Drama, Romance","Ritvik Sahore, Tanya Maniktala, Sunakshi Grover, Shivam Kakar",A teenage romance from The Timeliners that aims straight from the heart. This web-series is the story of a young romance unfolding as a chemical reaction.,"Title: Flames Year: 2018–  Genre: Comedy, Drama, Romance Cast: Ritvik Sahore, Tanya Maniktala, Sunakshi Grover, Shivam Kakar. Story: A teenage romance from The Timeliners that aims straight from the heart. This web-series is the story of a young romance unfolding as a chemical reaction."
744,Rules of Engagement,2007–2013,7.3,"Comedy, Romance","Patrick Warburton, Megyn Price, Oliver Hudson, Bianca Kajlich","Two couples and their single friend, all at different stages in their relationships, deal with the complications of dating, commitment, and marriage.","Title: Rules of Engagement Year: 2007–2013 Genre: Comedy, Romance Cast: Patrick Warburton, Megyn Price, Oliver Hudson, Bianca Kajlich. Story: Two couples and their single friend, all at different stages in their relationships, deal with the complications of dating, commitment, and marriage."
745,This Country,2017–2020,8.5,Comedy,"Daisy May Cooper, Charlie Cooper, Paul Chahidi, Ivy Woodcock","Comedy exploring the lives of young people in modern rural Britain, focusing on cousins Kerry and Kurtan and their lives in the Cotswolds.","Title: This Country Year: 2017–2020 Genre: Comedy Cast: Daisy May Cooper, Charlie Cooper, Paul Chahidi, Ivy Woodcock. Story: Comedy exploring the lives of young people in modern rural Britain, focusing on cousins Kerry and Kurtan and their lives in the Cotswolds."
746,The Carrie Diaries,2013–2014,7.0,"Comedy, Romance","AnnaSophia Robb, Austin Butler, Ellen Wong, Katie Findlay","Carrie Bradshaw is in her junior year of high school in the early 1980s. She asks her first questions about love, sex, friendship and family while navigating the worlds of high school and Manhattan.","Title: The Carrie Diaries Year: 2013–2014 Genre: Comedy, Romance Cast: AnnaSophia Robb, Austin Butler, Ellen Wong, Katie Findlay. Story: Carrie Bradshaw is in her junior year of high school in the early 1980s. She asks her first questions about love, sex, friendship and family while navigating the worlds of high school and Manhattan."
747,Vivir sin permiso,2018–2020,7.5,Drama,"Jose Coronado, Álex González, Claudia Traisac, Luis Zahera","Nemo Bandeira, a dealer with a clean businessman facade, is diagnosed with Alzheimer's disease and tries to keep it from his family while he starts to think about who might be his successor.","Title: Vivir sin permiso Year: 2018–2020 Genre: Drama Cast: Jose Coronado, Álex González, Claudia Traisac, Luis Zahera. Story: Nemo Bandeira, a dealer with a clean businessman facade, is diagnosed with Alzheimer's disease and tries to keep it from his family while he starts to think about who might be his successor."
748,Tae-yang-eui hoo-ye,2016,8.3,"Action, Comedy, Drama","Song Joong-ki, Song Hye-Kyo, Jin Goo, Kim Ji-Won",This drama tells of the love story that develops between a surgeon and a special forces officer.,"Title: Tae-yang-eui hoo-ye Year: 2016 Genre: Action, Comedy, Drama Cast: Song Joong-ki, Song Hye-Kyo, Jin Goo, Kim Ji-Won. Story: This drama tells of the love story that develops between a surgeon and a special forces officer."
749,Perception,2012–2015,7.5,"Crime, Drama, Mystery","Eric McCormack, Rachael Leigh Cook, Kelly Rowan, Arjay Smith",Dr. Daniel Pierce is an eccentric neuropsychiatrist who uses his unique outlook to help the federal government solve complex criminal cases.,"Title: Perception Year: 2012–2015 Genre: Crime, Drama, Mystery Cast: Eric McCormack, Rachael Leigh Cook, Kelly Rowan, Arjay Smith. Story: Dr. Daniel Pierce is an eccentric neuropsychiatrist who uses his unique outlook to help the federal government solve complex criminal cases."
750,Siyah Beyaz Ask,2017–2018,8.1,"Action, Drama, Romance","Ibrahim Celikkol, Birce Akalay, Muhammet Uzuner, Cahit Gök",A doctor who has devoted herself to healing others encounters a cold-blooded killer with a wounded past. What happens when the woman who saves lives is captured by the man who takes them?,"Title: Siyah Beyaz Ask Year: 2017–2018 Genre: Action, Drama, Romance Cast: Ibrahim Celikkol, Birce Akalay, Muhammet Uzuner, Cahit Gök. Story: A doctor who has devoted herself to healing others encounters a cold-blooded killer with a wounded past. What happens when the woman who saves lives is captured by the man who takes them?"
751,Electric Dreams,2017– ,7.3,Sci-Fi,"Steve Buscemi, Geraldine Chaplin, Bryan Cranston, Terrence Howard",A sci-fi anthology series with stand-alone episodes based on the works of Philip K. Dick.,"Title: Electric Dreams Year: 2017–  Genre: Sci-Fi Cast: Steve Buscemi, Geraldine Chaplin, Bryan Cranston, Terrence Howard. Story: A sci-fi anthology series with stand-alone episodes based on the works of Philip K. Dick."
752,That Time I Got Reincarnated as a Slime,2018– ,8.1,"Animation, Action, Adventure","Miho Okasaki, Brittney Karbowski, Mallorie Rodak, Megumi Toyoguchi","Lonely thirty-seven-year-old Mikami Satoru is stuck in a dead-end job, unhappy with his mundane life, but after dying at the hands of a robber, he awakens to a fresh start in a fantasy ...","Title: That Time I Got Reincarnated as a Slime Year: 2018–  Genre: Animation, Action, Adventure Cast: Miho Okasaki, Brittney Karbowski, Mallorie Rodak, Megumi Toyoguchi. Story: Lonely thirty-seven-year-old Mikami Satoru is stuck in a dead-end job, unhappy with his mundane life, but after dying at the hands of a robber, he awakens to a fresh start in a fantasy ..."
753,Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~,2019– ,8.4,"Animation, Comedy, Romance","Aoi Koga, Makoto Furukawa, Konomi Kohara, Yutaka Aoyama",The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other.,"Title: Kaguya-sama wa kokurasetai ~ Tensai tachi no ren'ai zunô sen ~ Year: 2019–  Genre: Animation, Comedy, Romance Cast: Aoi Koga, Makoto Furukawa, Konomi Kohara, Yutaka Aoyama. Story: The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other."
754,Kiralik Ask,2015–2017,7.1,"Comedy, Romance","Elçin Sangu, Baris Arduç, Salih Bademci, Nergis Kumbasar","When Defne's brother gets into debt and is held captive, Defne is forced to accept an offer in exchange for the money. She has to make omer, a wealthy shoe designer who owns a company, fall in love with her and marry her.","Title: Kiralik Ask Year: 2015–2017 Genre: Comedy, Romance Cast: Elçin Sangu, Baris Arduç, Salih Bademci, Nergis Kumbasar. Story: When Defne's brother gets into debt and is held captive, Defne is forced to accept an offer in exchange for the money. She has to make omer, a wealthy shoe designer who owns a company, fall in love with her and marry her."
755,Krypton,2018–2019,6.9,"Action, Adventure, Drama","Cameron Cuffe, Georgina Campbell, Shaun Sipos, Ann Ogbomo",The untold story of Superman's grandfather as he fights for justice on his home planet.,"Title: Krypton Year: 2018–2019 Genre: Action, Adventure, Drama Cast: Cameron Cuffe, Georgina Campbell, Shaun Sipos, Ann Ogbomo. Story: The untold story of Superman's grandfather as he fights for justice on his home planet."
756,Terminator: The Sarah Connor Chronicles,2008–2009,7.7,"Action, Drama, Fantasy","Lena Headey, Thomas Dekker, Summer Glau, Richard T. Jones",Set after the events in,"Title: Terminator: The Sarah Connor Chronicles Year: 2008–2009 Genre: Action, Drama, Fantasy Cast: Lena Headey, Thomas Dekker, Summer Glau, Richard T. Jones. Story: Set after the events in"
757,Robot Chicken,2005– ,7.7,"Animation, Short, Adventure","Seth Green, Matthew Senreich, Breckin Meyer, Tom Root",Pop culture references fly thick and fast as stop-motion animation is featured in sketches lampooning everything from television movies to comic books.,"Title: Robot Chicken Year: 2005–  Genre: Animation, Short, Adventure Cast: Seth Green, Matthew Senreich, Breckin Meyer, Tom Root. Story: Pop culture references fly thick and fast as stop-motion animation is featured in sketches lampooning everything from television movies to comic books."
758,Paradise PD,2018– ,6.9,"Animation, Action, Comedy","Sarah Chalke, David Herman, Tom Kenny, Kyle Kinane","Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders.","Title: Paradise PD Year: 2018–  Genre: Animation, Action, Comedy Cast: Sarah Chalke, David Herman, Tom Kenny, Kyle Kinane. Story: Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders."
759,The Dragon Prince,2018– ,8.4,"Animation, Adventure, Drama","Paula Burrows, Jack De Sena, Sasha Rojen, Jason Simpson","Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.","Title: The Dragon Prince Year: 2018–  Genre: Animation, Adventure, Drama Cast: Paula Burrows, Jack De Sena, Sasha Rojen, Jason Simpson. Story: Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands."
760,Family Reunion,2019– ,6.5,Comedy,"Talia Jackson, Tia Mowry-Hardrict, Anthony Alabi, Loretta Devine","When the McKellan family moves from Seattle to Georgia to be closer to extended family, the transition is like being a catfish out of water.","Title: Family Reunion Year: 2019–  Genre: Comedy Cast: Talia Jackson, Tia Mowry-Hardrict, Anthony Alabi, Loretta Devine. Story: When the McKellan family moves from Seattle to Georgia to be closer to extended family, the transition is like being a catfish out of water."
761,Secret City,2016–2019,7.4,"Mystery, Thriller","Anna Torv, Marcus Graham, Justin Smith, Aleks Mikic","Beneath the placid facade of Canberra, amidst rising tension between China and America, senior political journalist Harriet Dunkley uncovers a secret city of interlocked conspiracies, putting innocent lives in danger including her own.","Title: Secret City Year: 2016–2019 Genre: Mystery, Thriller Cast: Anna Torv, Marcus Graham, Justin Smith, Aleks Mikic. Story: Beneath the placid facade of Canberra, amidst rising tension between China and America, senior political journalist Harriet Dunkley uncovers a secret city of interlocked conspiracies, putting innocent lives in danger including her own."
762,Muhtesem Yüzyil,2011–2014,6.7,"Biography, Drama, History","Gökhan Atalay, Halit Ergenç, Nur Fettahoglu, Selim Bayraktar","From 1520, follows Suleiman the Magnificent and his relatives from his great conquests to the ""Battle of Szigeth"".","Title: Muhtesem Yüzyil Year: 2011–2014 Genre: Biography, Drama, History Cast: Gökhan Atalay, Halit Ergenç, Nur Fettahoglu, Selim Bayraktar. Story: From 1520, follows Suleiman the Magnificent and his relatives from his great conquests to the ""Battle of Szigeth""."
763,Candice Renoir,2013– ,7.4,"Comedy, Crime, Drama","Cécile Bois, Raphaël Lenglet, Clara Antoons, Etienne Martinelli",The story circles around French police officer Commandant Candice Renoir and her team solving different crime cases in a harbor city of south France. Candice herself is a mother of 4 ...,"Title: Candice Renoir Year: 2013–  Genre: Comedy, Crime, Drama Cast: Cécile Bois, Raphaël Lenglet, Clara Antoons, Etienne Martinelli. Story: The story circles around French police officer Commandant Candice Renoir and her team solving different crime cases in a harbor city of south France. Candice herself is a mother of 4 ..."
764,World on Fire,2019– ,7.3,"Drama, War","Jonah Hauer-King, Julia Brown, Helen Hunt, Sean Bean",WWII drama centered on the lives of ordinary people affected by the war.,"Title: World on Fire Year: 2019–  Genre: Drama, War Cast: Jonah Hauer-King, Julia Brown, Helen Hunt, Sean Bean. Story: WWII drama centered on the lives of ordinary people affected by the war."
765,Jericho,2006–2008,7.9,"Action, Drama, Mystery","Skeet Ulrich, Lennie James, Ashley Scott, Kenneth Mitchell","A small town in Kansas is literally left in the dark after seeing a mushroom cloud over near-by Denver, Colorado. The townspeople struggle to find answers about the blast and solutions on how to survive.","Title: Jericho Year: 2006–2008 Genre: Action, Drama, Mystery Cast: Skeet Ulrich, Lennie James, Ashley Scott, Kenneth Mitchell. Story: A small town in Kansas is literally left in the dark after seeing a mushroom cloud over near-by Denver, Colorado. The townspeople struggle to find answers about the blast and solutions on how to survive."
766,Our Girl,2013–2020,7.7,"Action, Drama, Thriller","Michelle Keegan, Sean Ward, Ben Aldridge, Rolan Bell",Drama following the extraordinary adventures of female medics in the British Army.,"Title: Our Girl Year: 2013–2020 Genre: Action, Drama, Thriller Cast: Michelle Keegan, Sean Ward, Ben Aldridge, Rolan Bell. Story: Drama following the extraordinary adventures of female medics in the British Army."
767,Portlandia,2011–2018,7.8,Comedy,"Fred Armisen, Carrie Brownstein, Kyle MacLachlan, Sam Adams","A sketch-comedy series that parodies life in Portland, Oregon.","Title: Portlandia Year: 2011–2018 Genre: Comedy Cast: Fred Armisen, Carrie Brownstein, Kyle MacLachlan, Sam Adams. Story: A sketch-comedy series that parodies life in Portland, Oregon."
768,Klovn,2005–2021,8.4,Comedy,"Frank Hvam, Casper Christensen, Mia Lyhne, Iben Hjejle","The socially awkward misadventures of Frank Hvam, his girlfriend Mia and his best friend Casper.","Title: Klovn Year: 2005–2021 Genre: Comedy Cast: Frank Hvam, Casper Christensen, Mia Lyhne, Iben Hjejle. Story: The socially awkward misadventures of Frank Hvam, his girlfriend Mia and his best friend Casper."
769,Ben 10,2005–2008,7.3,"Animation, Action, Adventure","Tara Strong, Paul Eiding, Meagan Moore, Dee Bradley Baker","The story of Ben Tennyson, a typical kid who becomes very atypical after he discovers the Omnitrix, a mysterious alien device with the power to transform the wearer into ten different alien species.","Title: Ben 10 Year: 2005–2008 Genre: Animation, Action, Adventure Cast: Tara Strong, Paul Eiding, Meagan Moore, Dee Bradley Baker. Story: The story of Ben Tennyson, a typical kid who becomes very atypical after he discovers the Omnitrix, a mysterious alien device with the power to transform the wearer into ten different alien species."
770,Ramy,2019– ,8.1,"Comedy, Drama, Romance","Ramy Youssef, Amr Waked, Mohammed Amer, Hiam Abbass","In New Jersey, Ramy, son of Egyptian migrants, begins a spiritual journey, divided between his Muslim community, God, and his friends who see endless possibilities.","Title: Ramy Year: 2019–  Genre: Comedy, Drama, Romance Cast: Ramy Youssef, Amr Waked, Mohammed Amer, Hiam Abbass. Story: In New Jersey, Ramy, son of Egyptian migrants, begins a spiritual journey, divided between his Muslim community, God, and his friends who see endless possibilities."
771,Lilyhammer,2012–2014,8.0,"Comedy, Crime, Drama","Steven Van Zandt, Trond Fausa, Steinar Sagen, Marian Saastad Ottesen",A New York mobster goes into hiding in rural Lillehammer in Norway after testifying against his former associates.,"Title: Lilyhammer Year: 2012–2014 Genre: Comedy, Crime, Drama Cast: Steven Van Zandt, Trond Fausa, Steinar Sagen, Marian Saastad Ottesen. Story: A New York mobster goes into hiding in rural Lillehammer in Norway after testifying against his former associates."
772,For Life,2020–2021,7.6,"Biography, Crime, Drama","Nicholas Pinnock, Indira Varma, Joy Bryant, Dorian Missick",A prisoner becomes a lawyer and fights to overturn his life sentence for a crime he didn't commit.,"Title: For Life Year: 2020–2021 Genre: Biography, Crime, Drama Cast: Nicholas Pinnock, Indira Varma, Joy Bryant, Dorian Missick. Story: A prisoner becomes a lawyer and fights to overturn his life sentence for a crime he didn't commit."
773,Ancient Aliens,2009– ,7.2,"Documentary, Fantasy, History","Robert Clotworthy, Giorgio A. Tsoukalos, David Childress, William Henry",Science and mythology - and how they are the same thing.,"Title: Ancient Aliens Year: 2009–  Genre: Documentary, Fantasy, History Cast: Robert Clotworthy, Giorgio A. Tsoukalos, David Childress, William Henry. Story: Science and mythology - and how they are the same thing."
774,Invincible,2008– ,8.8,Animation,"Patrick Cavanaugh, Pete Sepenuk, Victoria Kelleher, Wendy Allyn",The story of a teenager and his amazing powers that he inherited from his superhero father.,"Title: Invincible Year: 2008–  Genre: Animation Cast: Patrick Cavanaugh, Pete Sepenuk, Victoria Kelleher, Wendy Allyn. Story: The story of a teenager and his amazing powers that he inherited from his superhero father."
775,Señora Acero,2014–2019,7.1,"Crime, Drama, Romance","Aurora Gil, Oscar Priego, Jorge Zárate, Michel Duval","Señora Acero 3: La Coyote- Bastard daughter of Vicente Acero, Vicenta Rigores Acero (La Coyote) must come face to face with her destiny to become the New Señora Acero, as she is the inheritor of the Acero family dynasty.","Title: Señora Acero Year: 2014–2019 Genre: Crime, Drama, Romance Cast: Aurora Gil, Oscar Priego, Jorge Zárate, Michel Duval. Story: Señora Acero 3: La Coyote- Bastard daughter of Vicente Acero, Vicenta Rigores Acero (La Coyote) must come face to face with her destiny to become the New Señora Acero, as she is the inheritor of the Acero family dynasty."
776,Peppa Pig,2004– ,6.3,"Animation, Adventure, Comedy","John Sparkes, Morwenna Banks, Richard Ridings, Oliver May",A little pig named Peppa and her little brother George have journeys everyday with their family and friends.,"Title: Peppa Pig Year: 2004–  Genre: Animation, Adventure, Comedy Cast: John Sparkes, Morwenna Banks, Richard Ridings, Oliver May. Story: A little pig named Peppa and her little brother George have journeys everyday with their family and friends."
777,Raven's Home,2017–2021,7.3,"Comedy, Family","Raven-Symoné, Issac Ryan Brown, Navia Ziraili Robinson, Jason Maybaum","Though Raven Baxter is psychic, she never guessed that she would be a single mother living in an apartment with her twins, Nia and Booker Baxter, and her best friend Chelsea and her son Levi.","Title: Raven's Home Year: 2017–2021 Genre: Comedy, Family Cast: Raven-Symoné, Issac Ryan Brown, Navia Ziraili Robinson, Jason Maybaum. Story: Though Raven Baxter is psychic, she never guessed that she would be a single mother living in an apartment with her twins, Nia and Booker Baxter, and her best friend Chelsea and her son Levi."
778,Samurai Jack,2001–2017,8.5,"Animation, Action, Adventure","Phil LaMarr, Mako, Kevin Michael Richardson, Jeff Bennett",A samurai sent through time fights to return home and save the world.,"Title: Samurai Jack Year: 2001–2017 Genre: Animation, Action, Adventure Cast: Phil LaMarr, Mako, Kevin Michael Richardson, Jeff Bennett. Story: A samurai sent through time fights to return home and save the world."
779,Gypsy,2017,6.9,"Drama, Thriller","Naomi Watts, Billy Crudup, Sophie Cookson, Karl Glusman",Therapist Jean Holloway becomes too immersed in the lives of her patients.,"Title: Gypsy Year: 2017 Genre: Drama, Thriller Cast: Naomi Watts, Billy Crudup, Sophie Cookson, Karl Glusman. Story: Therapist Jean Holloway becomes too immersed in the lives of her patients."
780,Tales of the City,2019,7.4,Drama,"Laura Linney, Elliot Page, Paul Gross, Murray Bartlett","A middle-aged Mary Ann returns to San Francisco and reunites with the eccentric friends she left behind. ""Tales of the City"" focuses primarily on the people who live in a boardinghouse turned apartment complex owned by Anna Madrigal at 28 Barbary Lane, all of whom quickly become part of what Maupin coined a ""logical family"". It's no longer a secret that Mrs. Madrigal is transgender. Instead, she ...","Title: Tales of the City Year: 2019 Genre: Drama Cast: Laura Linney, Elliot Page, Paul Gross, Murray Bartlett. Story: A middle-aged Mary Ann returns to San Francisco and reunites with the eccentric friends she left behind. ""Tales of the City"" focuses primarily on the people who live in a boardinghouse turned apartment complex owned by Anna Madrigal at 28 Barbary Lane, all of whom quickly become part of what Maupin coined a ""logical family"". It's no longer a secret that Mrs. Madrigal is transgender. Instead, she ..."
781,SGU Stargate Universe,2009–2011,7.6,"Drama, Sci-Fi","Robert Carlyle, Louis Ferreira, Brian J. Smith, Elyse Levesque","Trapped on an Ancient spaceship billions of light-years from home, a group of soldiers and civilians struggle to survive and find their way back to Earth.","Title: SGU Stargate Universe Year: 2009–2011 Genre: Drama, Sci-Fi Cast: Robert Carlyle, Louis Ferreira, Brian J. Smith, Elyse Levesque. Story: Trapped on an Ancient spaceship billions of light-years from home, a group of soldiers and civilians struggle to survive and find their way back to Earth."
782,Secret Diary of a Call Girl,2007–2011,7.4,Drama,"Billie Piper, Iddo Goldberg, Cherie Lunghi, Ashley Madekwe",Based on the popular diary of the anonymous sex worker known only as Belle de Jour.,"Title: Secret Diary of a Call Girl Year: 2007–2011 Genre: Drama Cast: Billie Piper, Iddo Goldberg, Cherie Lunghi, Ashley Madekwe. Story: Based on the popular diary of the anonymous sex worker known only as Belle de Jour."
783,Good Luck Charlie,2010–2014,7.0,"Comedy, Drama, Family","Bridgit Mendler, Leigh-Allyn Baker, Bradley Steven Perry, Mia Talerico","The Duncan family are adjusting to the surprise birth of their fourth child, Charlie. When parents Amy and Bob return to work they put their latest addition in the care of her three older siblings.","Title: Good Luck Charlie Year: 2010–2014 Genre: Comedy, Drama, Family Cast: Bridgit Mendler, Leigh-Allyn Baker, Bradley Steven Perry, Mia Talerico. Story: The Duncan family are adjusting to the surprise birth of their fourth child, Charlie. When parents Amy and Bob return to work they put their latest addition in the care of her three older siblings."
784,Inspector George Gently,2007–2017,8.0,"Crime, Drama, Mystery","Martin Shaw, Lee Ingleby, Simon Hubbard, Lisa McGrillis","With the help of DS John Bacchus, Inspector George Gently spends his days bringing to justice members of the criminal underworld who are unfortunate enough to have the intrepid investigator assigned to their cases.","Title: Inspector George Gently Year: 2007–2017 Genre: Crime, Drama, Mystery Cast: Martin Shaw, Lee Ingleby, Simon Hubbard, Lisa McGrillis. Story: With the help of DS John Bacchus, Inspector George Gently spends his days bringing to justice members of the criminal underworld who are unfortunate enough to have the intrepid investigator assigned to their cases."
785,Norsemen,2016–2020,7.8,Comedy,"Kåre Conradi, Nils Jørgen Kaalstad, Jon Øigarden, Bjørn Myrene",Viking life at the close of the 8th century.,"Title: Norsemen Year: 2016–2020 Genre: Comedy Cast: Kåre Conradi, Nils Jørgen Kaalstad, Jon Øigarden, Bjørn Myrene. Story: Viking life at the close of the 8th century."
786,Zone Blanche,2017– ,7.5,"Crime, Drama, Horror","Suliane Brahim, Hubert Delattre, Laurent Capelluto, Samuel Jouy",A police chief and an eccentric new prosecutor investigate a string of grisly crimes and eerie phenomena in an isolated town at the edge of a forest.,"Title: Zone Blanche Year: 2017–  Genre: Crime, Drama, Horror Cast: Suliane Brahim, Hubert Delattre, Laurent Capelluto, Samuel Jouy. Story: A police chief and an eccentric new prosecutor investigate a string of grisly crimes and eerie phenomena in an isolated town at the edge of a forest."
